1,2,0.79367
1,6,0.87459
2,7,0.49127
2,8,0.65548
2,3,0.3612
3,8,0.27501
3,9,0.69205
3,4,0.04705
4,9,0.19827
4,10,0.79088
4,5,0.74688
5,10,0.49009
5,15,0.43616
6,11,0.73612
6,16,0.42762
7,11,0.98841
8,12,0.86906
8,13,0.95951
9,13,0.4857
10,14,0.90193
11,17,0.41046
12,18,0.09444
13,18,0.77992
14,15,0.86614
14,19,0.19459
14,20,0.99929
16,21,0.41119
17,22,0.7223
18,19,0.20045
18,22,0.7455
19,23,0.52501
20,25,0.65988
21,22,0.64908
22,23,0.8458
23,24,0.69618
24,25,0.0159
